District,Incumbent,Party,Biden,Trump,Total,Biden%,Trump%
KS-02,Jake LaTurner,(R),"130,954","183,352","321,754",40.7%,57.0%
KS-03,Sharice Davids,(D),"205,621","187,731","401,921",51.2%,46.7%
KS-04,Ron Estes,(R),"123,326","193,958","324,810",38.0%,59.7%
KY-01,James Comer,(R),"98,100","248,460","351,824",27.9%,70.6%
KY-02,Brett Guthrie,(R),"108,502","237,998","352,498",30.8%,67.5%
KY-03,OPEN,(D),"220,429","138,649","365,965",60.2%,37.9%
KY-04,Thomas Massie,(R),"122,980","244,777","374,537",32.8%,65.4%
KY-05,Hal Rogers,(R),"64,435","258,817","327,397",19.7%,79.1%
KY-06,Andy Barr,(R),"158,028","197,944","363,215",43.5%,54.5%
LA-01,Steve Scalise,(R),"111,741","258,790","377,529",29.6%,68.5%
LA-02,Troy Carter,(D),"260,653","79,318","345,722",75.4%,22.9%
LA-03,Clay Higgins,(R),"106,759","239,366","352,216",30.3%,68.0%
LA-04,Mike Johnson,(R),"130,910","215,850","352,106",37.2%,61.3%
LA-05,Julia Letlow,(R),"120,707","224,650","350,510",34.4%,64.1%
LA-06,Garret Graves,(R),"125,263","237,802","369,979",33.9%,64.3%
MA-01,Richard Neal,(D),"235,190","150,037","393,141",59.8%,38.2%
MA-02,Jim McGovern,(D),"254,528","132,546","395,665",64.3%,33.5%
MA-03,Lori Trahan,(D),"233,536","131,375","372,676",62.7%,35.3%
MA-04,Jake Auchincloss,(D),"263,669","145,121","416,487",63.3%,34.8%
MA-05,Katherine Clark,(D),"298,842","94,405","399,703",74.8%,23.6%
MA-06,Seth Moulton,(D),"283,226","158,963","450,070",62.9%,35.3%
MA-07,Ayanna Pressley,(D),"269,381","41,245","314,904",85.5%,13.1%
MA-08,Stephen Lynch,(D),"277,534","130,407","414,844",66.9%,31.4%
MA-09,Bill Keating,(D),"266,296","183,101","457,586",58.2%,40.0%
MD-01,Andy Harris,(R),"171,268","230,930","410,539",41.7%,56.3%
MD-02,Dutch Ruppersberger,(D),"232,384","150,927","391,029",59.4%,38.6%
MD-03,John Sarbanes,(D),"255,249","149,743","413,425",61.7%,36.2%
MD-04,OPEN,(D),"271,589","26,247","302,947",89.6%,8.7%
MD-05,Steny Hoyer,(D),"280,898","128,846","416,761",67.4%,30.9%
MD-06,David Trone,(D),"200,375","163,848","371,676",53.9%,44.1%
MD-07,Kweisi Mfume,(D),"251,751","54,327","310,936",81.0%,17.5%
MD-08,Jamie Raskin,(D),"321,508","71,547","399,296",80.5%,17.9%
ME-01,Chellie Pingree,(D),"258,001","159,932","430,096",60.0%,37.2%
ME-02,Jared Golden,(D),"177,070","200,803","389,278",45.5%,51.6%
MI-01,Jack Bergman,(R),"182,977","274,971","465,104",39.3%,59.1%
MI-02,John Moolenaar,(R),"145,196","262,155","414,538",35.0%,63.2%
MI-03,Peter Meijer,(R),"222,098","186,701","416,906",53.3%,44.8%
MI-04,Bill Huizenga,(R),"196,696","213,155","417,516",47.1%,51.1%
MI-05,Tim Walberg,(R),"150,368","248,430","405,836",37.1%,61.2%
MI-06,Debbie Dingell,(D),"286,146","164,381","456,503",62.7%,36.0%
MI-07,Elissa Slotkin,(D),"219,465","217,141","444,296",49.4%,48.9%
MI-08,Dan Kildee,(D),"215,710","207,003","429,213",50.3%,48.2%
MI-09,Lisa McClain,(R),"160,590","297,475","464,737",34.6%,64.0%
MI-10,OPEN,(D),"209,969","214,177","429,829",48.8%,49.8%
MI-11,Haley Stevens,(D),"273,915","182,229","462,280",59.3%,39.4%
MI-12,Rashida Tlaib,(D),"285,642","97,508","387,609",73.7%,25.2%
MI-13,OPEN,(D),"252,697","83,907","340,610",74.2%,24.6%
MN-01,Brad Finstad,(R),"172,285","208,058","388,718",44.3%,53.5%
MN-02,Angie Craig,(D),"221,003","190,819","420,650",52.5%,45.4%
MN-03,Dean Phillips,(D),"258,543","167,402","434,448",59.5%,38.5%
MN-04,Betty McCollum,(D),"268,967","119,722","396,499",67.8%,30.2%
MN-05,Ilhan Omar,(D),"319,407","69,135","396,493",80.6%,17.4%
MN-06,Tom Emmer,(R),"165,862","238,872","413,782",40.1%,57.7%
MN-07,Michelle Fischbach,(R),"128,550","260,007","395,801",32.5%,65.7%
MN-08,Pete Stauber,(R),"182,461","230,050","420,814",43.4%,54.7%
MO-01,Cori Bush,(D),"278,269","71,037","355,000",78.4%,20.0%
MO-02,Ann Wagner,(R),"198,823","232,845","438,960",45.3%,53.0%
MO-03,Blaine Luetkemeyer,(R),"142,584","247,108","397,210",35.9%,62.2%
MO-04,OPEN,(R),"109,920","257,315","374,598",29.3%,68.7%
